Codes;Location;Registered;Envelopes;Valid;Občanská demokratická strana;Řád národa - Vlastenecká unie;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Česká str.sociálně demokrat.;Radostné Česko;STAROSTOVÉ A NEZÁVISLÍ;Komunistická str.Čech a Moravy;Strana zelených;ROZUMNÍ-stop migraci,diktát.EU;Strana svobodných občanů;Blok proti islam.-Obran.domova;Občanská demokratická aliance;Česká pirátská strana
553433;Babylon;230;171;169;19;0;0;8;0;17;20;0;1;3;0;0;18
553441;Bělá nad Radbuzou;1 394;677;671;54;1;0;53;1;100;81;8;5;4;1;0;38
553450;Blížejov;1 129;621;619;62;1;1;41;0;33;55;5;9;9;1;2;55
566136;Brnířov;294;170;170;40;0;0;11;0;9;6;0;2;0;0;1;13
553506;Bukovec;79;44;44;7;0;0;7;0;3;3;0;0;0;0;0;3
566080;Čečovice;62;24;24;1;0;0;1;0;1;0;0;1;0;0;0;1
553514;Čermná;203;134;134;26;2;0;11;1;10;15;2;1;1;0;0;8
566098;Černovice;171;71;69;6;0;0;14;0;6;9;1;0;1;0;1;0
553549;Česká Kubice;549;270;268;14;3;0;27;1;20;31;2;5;1;0;0;24
553557;Díly;315;219;217;24;0;0;20;0;12;21;1;1;0;0;1;16
553425;Domažlice;8 554;5 094;5 073;592;6;2;449;6;278;508;53;55;35;0;13;483
553573;Drahotín;152;64;64;4;0;0;5;0;6;5;0;0;1;0;0;2
553581;Draženov;330;219;219;18;0;0;18;0;10;14;1;3;5;0;0;10
553620;Hlohová;220;143;142;19;0;0;15;0;6;15;0;5;2;0;0;17
566641;Hlohovčice;157;108;108;5;0;0;9;0;6;16;1;3;2;0;0;7
553654;Holýšov;3 970;2 173;2 161;215;4;0;191;1;133;185;17;21;29;5;8;182
566276;Hora Svatého Václava;71;50;50;10;0;0;9;0;6;0;0;0;1;0;0;4
553662;Horní Kamenice;191;130;129;14;1;0;21;0;12;9;0;1;2;0;0;14
553671;Horšovský Týn;3 933;2 109;2 093;281;7;6;135;6;102;242;27;33;24;1;4;151
553689;Hostouň;1 000;442;438;30;0;0;36;0;25;64;4;8;5;0;0;37
566179;Hradiště;125;81;81;18;0;0;10;1;10;6;0;2;0;0;0;7
566331;Hvožďany;29;12;12;1;0;0;2;0;2;1;0;0;0;0;0;0
553727;Chocomyšl;99;63;63;0;0;0;12;0;10;14;0;0;1;0;0;1
553735;Chodov;607;381;381;34;0;0;37;1;14;57;4;23;4;1;1;19
553743;Chodská Lhota;332;201;201;28;0;0;17;0;12;21;0;2;4;0;0;15
553751;Chrastavice;298;217;217;18;1;0;13;2;12;14;2;0;3;2;1;26
566144;Kanice;159;122;122;24;0;0;12;0;8;10;2;1;0;0;0;5
553778;Kaničky;27;23;23;1;0;0;0;0;3;1;0;0;0;0;0;3
553786;Kdyně;4 055;2 417;2 399;429;1;2;206;6;71;201;17;33;21;3;3;178
553794;Klenčí pod Čerchovem;1 030;623;620;70;1;0;49;2;35;98;11;27;6;0;1;49
553816;Koloveč;808;486;483;51;1;0;37;0;21;37;5;2;10;0;0;40
553824;Kout na Šumavě;908;570;566;73;0;0;59;0;24;54;3;10;1;1;0;53
553832;Křenovy;123;84;84;12;0;0;10;0;2;5;0;0;0;0;0;10
553841;Kvíčovice;302;184;182;12;0;0;8;2;65;19;1;0;0;0;0;14
553859;Libkov;90;58;58;8;0;0;1;0;4;2;1;0;4;2;0;6
553867;Loučim;100;75;74;14;0;0;13;0;5;8;0;1;0;0;0;4
553891;Luženičky;290;221;221;16;0;0;12;0;9;20;1;3;7;1;0;11
553913;Meclov;871;451;447;39;2;0;27;1;8;60;4;7;4;1;1;23
553930;Mezholezy;102;65;64;4;1;0;11;0;4;16;1;0;0;0;0;1
553921;Mezholezy;84;54;53;4;0;0;8;0;4;0;0;0;3;1;0;6
553948;Milavče;474;310;304;23;0;0;35;0;9;35;3;0;4;0;0;25
553956;Mířkov;229;95;94;6;0;0;7;0;2;10;0;2;0;0;0;12
566292;Mnichov;173;71;71;2;1;0;8;0;2;12;6;1;0;0;0;2
599174;Močerady;49;32;31;3;0;0;4;0;1;0;0;1;1;0;1;3
553981;Mrákov;928;597;593;47;0;0;52;0;40;36;3;1;0;0;1;29
553999;Mutěnín;217;104;103;7;0;0;9;0;5;19;0;0;1;0;0;7
554006;Nemanice;192;88;88;4;0;0;8;0;3;14;0;4;0;1;0;8
599166;Němčice;106;67;67;9;1;0;5;0;10;3;1;0;0;0;0;8
554022;Neuměř;118;77;77;3;0;0;4;0;9;5;0;0;1;0;0;6
